latitude,longitude,flooded_2018,flooded_2019,flooded_2021,flood_history_count,risk
9.981630279494064,75.75358043687307,1,1,0,2,High
11.232085154988438,75.61973145953927,0,0,1,1,Medium
8.65661523541777,75.5523578132303,1,1,0,2,High
11.419833049369418,76.03205817495012,0,0,0,0,Low
12.643338466340206,76.31682412001601,1,1,0,2,High
9.228842071401905,76.16590715228394,0,0,0,0,Medium
8.73117540399969,76.03834638193896,1,0,0,1,Medium
11.365934132322247,75.48857742805781,0,0,0,0,Medium
9.205485874014798,76.65369235156084,1,1,1,3,High
11.757599596198357,77.49810871863318,1,0,0,1,Medium
12.538235578098222,76.46055456547514,1,1,1,3,High
9.455217523000025,76.3671297759267,1,0,1,2,High
10.110987680407275,75.78142821068077,1,1,0,2,High
8.804837257297491,75.54067971453675,1,1,0,2,High
9.704050856701132,75.33676214504162,0,0,1,1,Medium
9.46240404527298,76.71747273673331,0,0,0,0,Low
8.493121853708017,76.91600041452374,1,0,1,2,High
10.583501519854144,75.49935721146724,1,0,0,1,Medium
11.278797549762652,76.98157743026445,1,1,1,3,High
10.394855310189044,77.0390696084481,1,0,1,2,High
10.217887199217499,76.28178982393536,0,0,0,0,Low
9.176739784922972,75.55954433550326,1,1,0,2,High
10.698485876221442,76.7534053480981,0,0,0,0,Low
10.043614034098312,76.58362375939952,0,0,0,0,Low
10.764961207246287,75.68530847527998,1,0,1,2,High
12.040568910696008,76.58362375939952,0,0,0,0,Low
10.745198270995658,75.91437887273047,1,1,1,3,High
12.757424507423385,77.2780214740239,1,1,1,3,High
10.632908860480716,75.73291918533832,1,0,0,1,Medium
9.575591771072041,75.35113518958752,0,0,1,1,Medium
10.995828235265003,75.57481569533329,0,0,0,0,Medium
10.386770472631968,74.88670618769773,0,0,1,1,Medium
10.23226024376341,77.00223868179921,0,0,0,0,Low
9.139010542989952,76.59440354280895,0,0,0,0,Low
9.418386596351123,77.17471521635015,0,0,0,0,Low
11.181779499077745,75.66644385431347,0,0,1,1,High
12.714305373785649,75.20650642884428,0,0,0,0,Low
11.988466624217075,75.24154072492495,0,0,0,0,Medium
11.089253024813434,75.46162796953422,0,0,0,0,Medium
11.034455792482143,75.98893904131239,1,1,1,3,High
9.69057612743934,76.43809668337215,1,1,1,3,High
12.09177288189082,77.49361714221259,0,0,0,0,Low
12.743949778161593,76.70399800747153,0,0,0,0,Low
9.494743395501283,75.45264481669304,0,0,0,0,Medium
10.57362005172883,76.10661834353205,1,1,1,3,High
9.636677210392168,74.83640053178704,0,0,1,1,Medium
10.900606815148334,74.84358705406,0,0,1,1,Medium
12.350487683717242,77.14596912725833,0,0,0,0,Low
9.10577287747753,74.8390954776394,0,0,0,0,Medium
10.10020789699784,75.86047995568329,1,1,0,2,High
9.431861325612918,76.36892640649495,1,1,1,3,High
11.438697670335928,76.84144024594181,0,0,0,0,Low
8.310763851031755,76.42282532354211,1,0,0,1,Medium
11.934567707169904,75.65117249448345,0,0,0,0,Low
10.303227151208853,76.67076034195911,0,0,0,0,Low
9.963663973811673,75.73381750062244,1,1,0,2,High
11.186271075498343,76.55667430087593,1,0,0,1,Medium
8.870414273038216,76.72825252014275,0,0,0,0,Low
10.53409417922757,77.28880125743333,0,0,0,0,Low
11.776464217164868,76.23597574444526,0,0,0,0,Low
10.649078535594867,75.16787887162714,0,0,1,1,Medium
9.737288522213554,74.84538368462823,0,0,1,1,Medium
10.393058679620804,76.27101004052592,1,1,1,3,High
10.636502121617195,75.86586984738801,1,1,1,3,High
8.550614031891666,76.13805937847623,0,0,0,0,Medium
9.661830038347514,76.43989331394039,1,1,1,3,High
9.236028593674861,76.92318693679668,0,0,0,0,Low
11.109015961064063,75.09062375719286,0,0,1,1,Medium
9.734593576361195,75.84970017227386,1,1,0,2,High
11.591411268636246,76.16770378285217,0,0,0,0,Low
10.725435334745027,75.92246371028754,0,1,1,2,High
10.707469029062636,76.3806045051885,0,1,0,1,Medium
12.58135471173596,76.28268813921947,0,0,0,0,Low
